"ensembl_id","gene_symbol","gene_name","baseMean","log2FoldChange","pvalue","padj","panel_padj"
"ENSG00000151623","NR3C2","nuclear receptor subfamily 3 group C member 2",467.1777240464,0.513734096046702,0.00931020146633411,0.999981678667569,0.148963223461346
"ENSG00000117594","HSD11B1","hydroxysteroid 11-beta dehydrogenase 1",186.84927921225,-0.435155454573775,0.618358743391705,0.999981678667569,0.849095090310403
"ENSG00000176387","HSD11B2","hydroxysteroid 11-beta dehydrogenase 2",25.8320020516855,-0.224012292400788,0.62575874017206,0.999981678667569,0.849095090310403
"ENSG00000004478","FKBP4","FKBP prolyl isomerase 4",4958.71402324068,-0.0535490272816278,0.793366182317516,0.999981678667569,0.910233036554367
"ENSG00000096060","FKBP5","FKBP prolyl isomerase 5",3939.51655033953,0.391676185298357,0.137176983523634,0.999981678667569,0.817950298877137
"ENSG00000080824","HSP90AA1","heat shock protein 90 alpha family class A member 1",468263.927625107,0.0332029004486202,0.850298022276488,0.999981678667569,0.910233036554367
"ENSG00000096384","HSP90AB1","heat shock protein 90 alpha family class B member 1",251554.146489094,-0.150482732052231,0.23761107469706,0.999981678667569,0.817950298877137
"ENSG00000084676","NCOA1","nuclear receptor coactivator 1",12276.084042903,0.139543260863167,0.269051184058354,0.999981678667569,0.817950298877137
"ENSG00000140396","NCOA2","nuclear receptor coactivator 2",10867.5687555998,0.0624419510747592,0.484742352237648,0.999981678667569,0.849095090310403
"ENSG00000141027","NCOR1","nuclear receptor corepressor 1",36806.5421227164,-0.00965168301010534,0.910233036554367,0.999981678667569,0.910233036554367
"ENSG00000196498","NCOR2","nuclear receptor corepressor 2",2796.98876845976,-0.224118711017729,0.320748827538253,0.999981678667569,0.817950298877137
"ENSG00000113580","NR3C1","nuclear receptor subfamily 3 group C member 1",50517.0628855611,0.115484136182728,0.341195158137555,0.999981678667569,0.817950298877137
"ENSG00000118515","SGK1","serum/glucocorticoid regulated kinase 1",32100.3594077227,0.164347788089345,0.357853255758747,0.999981678667569,0.817950298877137
"ENSG00000111319","SCNN1A","sodium channel epithelial 1 subunit alpha",114.739627475238,-0.156402018972625,0.636821317732802,0.999981678667569,0.849095090310403
"ENSG00000168447","SCNN1B","sodium channel epithelial 1 subunit beta",22.2500109681999,-0.647669099705521,0.542624841619204,0.999981678667569,0.849095090310403
"ENSG00000166828","SCNN1G","sodium channel epithelial 1 subunit gamma",6.93755267184423,0.190317261686894,0.871371212624631,0.999981678667569,0.910233036554367
