"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000102678",227.392641409266,2.6151856509259,0.480844920617405,5.43872990811258,5.36617315514259e-08,0.00265995837127263
"ENSG00000100285",247.277096636089,-1.56207337751432,0.298250572679841,-5.23745307001016,1.62807680428559e-07,0.00403510695558163
"ENSG00000040731",332.850324891638,2.31789102934719,0.502537410857605,4.61237507749243,3.98093801762195e-06,0.0657770388651675
"ENSG00000135298",18.0159502601736,3.19376021542543,0.725227075474612,4.40380719836657,1.063674830559e-05,0.131813244189948
"ENSG00000144619",38.3379895627537,-2.92955062676594,0.6843437578959,-4.28081734211064,1.86208149522122e-05,0.176440177947189
"ENSG00000130558",1957.75855671024,0.743498498354047,0.174932135977423,4.25021105584627,2.13569179867081e-05,0.176440177947189
"ENSG00000121361",3133.15336222319,1.21698960840346,0.291827743368106,4.17023273509801,3.04288725476096e-05,0.215475540473208
"ENSG00000261377",2068.96247092306,0.738253084696903,0.184022399117994,4.0117566569901,6.02686066909383e-05,0.37343182063289
"ENSG00000127329",2232.12173842813,1.02530208552578,0.257779336220297,3.97744094060963,6.96609170413122e-05,0.383669110757867
"ENSG00000246985",602.954899330147,0.92320960657641,0.239785508581574,3.85014762584093,0.000118046652037533,0.585145449484846
"ENSG00000230521",64.484619604685,-1.90190886327574,0.500249091673539,-3.80192367149147,0.000143576963939633,0.646996956865788
"ENSG00000120833",4184.48650804808,0.893786757407611,0.237876387355865,3.75735804357284,0.000171716720371768,0.654905924682383
"ENSG00000128510",4184.40577769568,-0.980879955376316,0.261736437538043,-3.74758655922237,0.000178544231231205,0.654905924682383
"ENSG00000265321",131.366965087238,0.762339433133296,0.204812063095658,3.72214127239783,0.000197540442006104,0.654905924682383
"ENSG00000272544",23.8615755796966,-1.49877247492983,0.402752360253192,-3.72132511895802,0.000198180089778607,0.654905924682383
"ENSG00000163710",8899.34970822934,0.818383218340671,0.222167454801731,3.68363232621546,0.000229933833163505,0.712349386005111
"ENSG00000255310",65.1138238633178,-1.32685940089407,0.362602842062853,-3.65926365426577,0.0002529410024895,0.737531326611883
"ENSG00000157554",297.555876439105,1.43135354549342,0.394355136950946,3.62960542763632,0.000283854780833197,0.752690224330323
"ENSG00000170217",37.3048995159664,-1.29247449168,0.357092560180584,-3.61943830760962,0.000295243186644039,0.752690224330323
"ENSG00000135119",101.658417543783,-1.18268037942213,0.327419237616752,-3.61212856040693,0.000303693931420978,0.752690224330323
"ENSG00000267346",10.1722959201592,2.61073985339999,0.728317466596899,3.58461793536108,0.000337572003016385,0.76023113048737
"ENSG00000122378",1090.74684939249,-1.34964090719623,0.377145015787945,-3.57857283192914,0.000345475598527269,0.76023113048737
"ENSG00000161533",10105.2097054832,0.280025498304393,0.0783997270522967,3.57176623992073,0.000354581836044667,0.76023113048737
"ENSG00000126803",6276.71655697058,-0.763057477714885,0.214793622999251,-3.55251458148525,0.000381567870266456,0.76023113048737
"ENSG00000103742",2254.2930533595,-0.798805618459729,0.22519440834749,-3.54718229605026,0.000389375064411716,0.76023113048737
"ENSG00000196963",529.222286898808,0.69094531968338,0.195132420955939,3.54090476763673,0.000398757477307826,0.76023113048737
"ENSG00000069431",14556.9693886337,1.21035234504536,0.343051534456564,3.52819394019826,0.000418405484363576,0.768145979793263
"ENSG00000250056",19.6801513414516,1.89250821694847,0.538864264899093,3.51203139681727,0.00044469546067194,0.787253903215979
"ENSG00000253496",15.1123142332153,1.70048660725106,0.491432876024261,3.46026220510146,0.00053964963185594,0.801299004102794
"ENSG00000236013",105.598116503278,0.920875835977641,0.266255391793382,3.45861854580678,0.000542953276639197,0.801299004102794
"ENSG00000243715",18.6750741060221,-1.94832171429602,0.564620050664232,-3.45067751668396,0.000559181290932238,0.801299004102794
"ENSG00000125851",72.3233743624274,-1.83659997554385,0.532767344236144,-3.44728331308872,0.000566254436913872,0.801299004102794
"ENSG00000164038",8575.16965893197,0.241367118205395,0.0702279993491573,3.43690722279263,0.000588397113685939,0.801299004102794
"ENSG00000136541",85.5862276017058,1.35107433137539,0.393794003749229,3.43091646523843,0.000601545810626736,0.801299004102794
"ENSG00000168131",3.42182249531209,-3.67143525303391,1.07042474376673,-3.42988638333831,0.000603834034122075,0.801299004102794
"ENSG00000115252",440.424636103987,1.43286767498881,0.418272007377088,3.42568388445135,0.000613253663052454,0.801299004102794
"ENSG00000250337",509.508505903428,1.20634686855909,0.352174913956037,3.42541964448293,0.000613850485208903,0.801299004102794
"ENSG00000188868",323.291366805095,0.455621985054876,0.133145934516269,3.42197444263088,0.00062168156967099,0.801299004102794
"ENSG00000201025",60.985911889562,-1.70635009922323,0.500537124532674,-3.40903804251555,0.000651923878583999,0.801299004102794
"ENSG00000235290",26.3449505306422,-1.99865682516982,0.586817640690683,-3.4059249187148,0.00065940310862079,0.801299004102794
"ENSG00000146267",163.383732896043,-0.614150280557177,0.180603172767287,-3.40055089369071,0.000672502158557233,0.801299004102794
"ENSG00000133961",17935.7384351157,0.17226914651154,0.0507315657110692,3.39569938551989,0.000684534963409356,0.801299004102794
"ENSG00000180875",35042.6175655036,0.769136708413699,0.227161633610656,3.38585656472237,0.000709564610321863,0.801299004102794
"ENSG00000148655",417.391631978448,0.898546011396238,0.265433964554559,3.38519606149176,0.000711274308146683,0.801299004102794
"ENSG00000106069",165.521948544358,1.5558265620473,0.461091701178031,3.37422373482837,0.000740241765947085,0.815400979916246
"ENSG00000233797",11.0452978883648,1.68936200487817,0.503013227221909,3.35848425737897,0.000783711851124041,0.844517668442774
"ENSG00000270755",11.3492075039559,-1.38142467830622,0.41207799477512,-3.35233789676174,0.000801321526061465,0.845121419688101
"ENSG00000155530",45.5560987749784,1.01081307638263,0.303609319380198,3.32932163757738,0.000870578047704672,0.899035067639018
"ENSG00000250602",2092.40724112202,0.561029301784743,0.169021339604126,3.31928088547139,0.000902496003549766,0.906660332457183
"ENSG00000261335",390.557229067731,0.482610804590048,0.145686658388722,3.31266301202643,0.00092412254369312,0.906660332457183
"ENSG00000198682",17033.3705613623,0.342516678626015,0.103478185319073,3.31003754626998,0.000932834573126678,0.906660332457183
"ENSG00000258168",270.905465523433,0.99185379166157,0.301079591577013,3.29432422326063,0.00098658628266793,0.930305165538286
"ENSG00000221590",3.14384186424,-2.57781964551795,0.783050516615707,-3.29202215031939,0.000994697770250139,0.930305165538286
"ENSG00000064042",5282.7052721187,1.00508629952054,0.30627409961533,3.2816562052844,0.00103199346299799,0.94731266606199
"ENSG00000232694",7.33720251610785,2.28252771588791,0.697030008413834,3.27464770287587,0.00105793817462533,0.953471588690965
"ENSG00000124772",18.7354025678574,1.72681226416632,0.531638511085258,3.24809476394271,0.00116180569780293,0.999981678667569
"ENSG00000188662",13.7956183636775,0.960775729259114,0.296274145008434,3.24286052443679,0.00118336125810849,0.999981678667569
"ENSG00000170152",22.6390594237678,-1.29975754348304,0.401216478270965,-3.23954177825477,0.00119721926100723,0.999981678667569
"ENSG00000155495",3.0425426733195,4.10029772508665,1.2699860493253,3.22861635154574,0.00124390646258107,0.999981678667569
"ENSG00000138483",38.0073580560123,1.5005854306119,0.465349268457927,3.22464336429395,0.00126129686143757,0.999981678667569
